Domain name,Domain type,Agency,Organization name,City,State,Security Contact Email
dallascountytexastaxes.gov,County,Non-Federal Agency,Dallas Central Appraisal District,,, 
dallascounty-tx.gov,County,Non-Federal Agency,Dallas County,,, 
danecounty.gov,County,Non-Federal Agency,Dane County Local Government,,, 
dapss-ut.gov,County,Non-Federal Agency,Davis County Government,,, 
darecountync.gov,County,Non-Federal Agency,Dare County,,, 
darenc.gov,County,Non-Federal Agency,Dare County,,, 
dauphincounty.gov,County,Non-Federal Agency,Dauphin County,,, 
davidsoncountync.gov,County,Non-Federal Agency,County of Davidson,,, 
daviecountync.gov,County,Non-Federal Agency,County of Davie,,, 
daviesscountyin.gov,County,Non-Federal Agency,Daviess County Indiana,,, 
daviesscountyinsheriff.gov,County,Non-Federal Agency,Daviess County Indiana Sheriff Office,,, 
daviesscountymo.gov,County,Non-Federal Agency,Daviess County,,, 
daviscountyelectionsutah.gov,County,Non-Federal Agency,Davis County,,, 
daviscountyiowa.gov,County,Non-Federal Agency,Davis County Iowa,,, 
daviscountyutah.gov,County,Non-Federal Agency,Davis County Utah,,, 
dawsoncountyga.gov,County,Non-Federal Agency,Dawson County Government,,, 
dawsoncountyne.gov,County,Non-Federal Agency,Dawson County Nebraska,,, 
dawsonmt.gov,County,Non-Federal Agency,County of Dawson (Montana),,, 
dconc.gov,County,Non-Federal Agency,Durham County,,, 
decaturcountyga.gov,County,Non-Federal Agency,Decatur County Board of Commissioners,,, 
decaturcountyiowa.gov,County,Non-Federal Agency,Decatur County,,, 
decaturcountytn.gov,County,Non-Federal Agency,Decatur County,,, 
dekalbcountyclerkil.gov,County,Non-Federal Agency,DeKalb County Clerk & Recorder,,, 
dekalbcountyga.gov,County,Non-Federal Agency,DeKalb County Government,,, 
dekalbcountymo.gov,County,Non-Federal Agency,Dekalb County,,, 
delawarecountyohio.gov,County,Non-Federal Agency,Delaware County,,, 
delcopa.gov,County,Non-Federal Agency,Delaware County Courthouse and Government Center,,, 
delcopalandbank.gov,County,Non-Federal Agency,Delaware County Redevelopment Authority,,, 
deltacountyco.gov,County,Non-Federal Agency,"Delta County, Colorado",,, 
deltacountymi.gov,County,Non-Federal Agency,Delta County,,, 
dentoncounty.gov,County,Non-Federal Agency,"Denton County, Texas",,, 
dentoncountysheriffjobs.gov,County,Non-Federal Agency,Denton County,,, 
deschutescounty.gov,County,Non-Federal Agency,Deschutes County,,, 
desotocountyms.gov,County,Non-Federal Agency,Desoto County,,, 
deuelcountyne.gov,County,Non-Federal Agency,Deuel County,,, 
dewittcountyil.gov,County,Non-Federal Agency,"Dewitt County, Illinois",,, 
dickinsoncountyiowa.gov,County,Non-Federal Agency,Dickinson County ,,, 
dickinsoncountymi.gov,County,Non-Federal Agency,Dickinson County,,, 
dickinsoncountysheriffmi.gov,County,Non-Federal Agency,Dickinson County Sheriff,,, 
dicksoncosheriff.gov,County,Non-Federal Agency,Dickson County Sheriff's Office,,, 
dicksoncountytn.gov,County,Non-Federal Agency,Dickson County Government,,, 
dixoncountyne.gov,County,Non-Federal Agency,"Dixon, County of",,, 
dkcoks.gov,County,Non-Federal Agency,"Dickinson County, KS",,, 
doddridgecountywv.gov,County,Non-Federal Agency,Doddridge County Commission,,, 
dodgecountymn.gov,County,Non-Federal Agency,Dodge County,,, 
dodgecountyne.gov,County,Non-Federal Agency,Dodge County,,, 
dorchestercountysc.gov,County,Non-Federal Agency,Dorchester County Government,,, 
douglascountycolorado.gov,County,Non-Federal Agency,Douglas County,,, 
douglascountyga.gov,County,Non-Federal Agency,Douglas County,,, 
douglascountyil.gov,County,Non-Federal Agency,"Douglas County, IL",,, 
douglascountymn.gov,County,Non-Federal Agency,Douglas County IT Department,,, 
douglascounty-ne.gov,County,Non-Federal Agency,Douglas Omaha Technology Commission,,, 
douglascountynv.gov,County,Non-Federal Agency,Douglas County,,, 
douglascountyor.gov,County,Non-Federal Agency,"Douglas County, Oregon",,, 
douglascovotes.gov,County,Non-Federal Agency,Douglas County,,, 
dubuquecountyiowa.gov,County,Non-Federal Agency,Dubuque County,,, 
dunncountywi.gov,County,Non-Federal Agency,Dunn County,,, 
dupagecounty.gov,County,Non-Federal Agency,DuPage County,,, 
dupagecourts.gov,County,Non-Federal Agency,18th Judicial Circuit ,,, 
durhamcountync.gov,County,Non-Federal Agency,Durham County,,, 
dutchessny.gov,County,Non-Federal Agency,Dutchess Co. Office of Computer Information Services,,, 
duvalelections.gov,County,Non-Federal Agency,Duval County Supervisor of Elections,,, 
eaglecounty.gov,County,Non-Federal Agency,Eagle County Governement,,, 
easternmontanafair.gov,County,Non-Federal Agency,Custer County Montana,,, 
eastlandcountytexas.gov,County,Non-Federal Agency,Eastland County Texas,,, 
eauclairecounty.gov,County,Non-Federal Agency,Eau Claire County,,, 
ectorcountytx.gov,County,Non-Federal Agency,Ector County,,, 
edgarcountyillinois.gov,County,Non-Federal Agency,County of Edgar,,, 
edgecombecountync.gov,County,Non-Federal Agency,Edgecombe County,,, 
effinghamcountyil.gov,County,Non-Federal Agency,Effingham County,,, 
elbertcounty-co.gov,County,Non-Federal Agency,Elbert County Government,,, 
elpasoco.gov,County,Non-Federal Agency,El Paso County,,, 
emanuelco-ga.gov,County,Non-Federal Agency,Emanuel County Board of Commissioners,,, 
emmetcountyia.gov,County,Non-Federal Agency,Emmet County,,, 
epcountytx.gov,County,Non-Federal Agency,El Paso County,,, 
eriecountyohioboe.gov,County,Non-Federal Agency,Erie County Board of Elections,,, 
eriecountypa.gov,County,Non-Federal Agency,County of Erie,,, 
erie.gov,County,Non-Federal Agency,"County of Erie, New York",,, 
escambiacountyal.gov,County,Non-Federal Agency,Escambia County Commission of Alabama,,, 
escambiavotes.gov,County,Non-Federal Agency,Escambia County Supervisor of Elections,,, 
essexcountyny.gov,County,Non-Federal Agency,Essex County,,, 
essexcountyvermont.gov,County,Non-Federal Agency,Essex County,,, 
eurekacountynv.gov,County,Non-Federal Agency,Eureka County,,, 
fairfaxcounty.gov,County,Non-Federal Agency,Fairfax County Government,,, 
fairfaxcountypartners.gov,County,Non-Federal Agency,Fairfax County Government,,, 
fairfaxcountyva.gov,County,Non-Federal Agency,Fairfax County Government,,, 
fairfaxcountyvirginia.gov,County,Non-Federal Agency,Fairfax County Government,,, 
fairfieldcountyohioelections.gov,County,Non-Federal Agency,Fairfield County,,, 
fairfieldcountyohio.gov,County,Non-Federal Agency,Fairfield County,,, 
fairfieldcountyohioworkforcecenter.gov,County,Non-Federal Agency,Fairfield County,,, 
faulknercountyar.gov,County,Non-Federal Agency,Faulkner County Arkansas,,, 
fauquiercounty.gov,County,Non-Federal Agency,Fauquier County Government,,, 
fayettecountyga.gov,County,Non-Federal Agency,Fayette County Board of Commissioners,,, 
fayettecountyillinois.gov,County,Non-Federal Agency,Fayette County,,, 
fayettecountyoh.gov,County,Non-Federal Agency,Fayette County Commissioners,,, 
fayettecountytn.gov,County,Non-Federal Agency,Fayette County Tennessee,,, 
fayettecountywv.gov,County,Non-Federal Agency,Fayette County Commission,,, 
fbctx.gov,County,Non-Federal Agency,Fort Bend County,,, 
fcgmd.gov,County,Non-Federal Agency,Frederick County Government,,, 
fentresscountytn.gov,County,Non-Federal Agency,Fentress County Emergency Management Agency,,, 
fillmorecountyne.gov,County,Non-Federal Agency,Fillmore County,,, 
flaglercounty.gov,County,Non-Federal Agency,Flagler County Board of County Commissioners,,, 
flaglerelections.gov,County,Non-Federal Agency,Flagler County Supervisor of Elections,,, 
florencecountywi.gov,County,Non-Federal Agency,Florence County,,, 
floydcountyga.gov,County,Non-Federal Agency,Floyd County Government,,, 
floydcova.gov,County,Non-Federal Agency,Floyd County,,, 
fnsb.gov,County,Non-Federal Agency,Fairbanks North Star Borough,,, 
forestcountypa.gov,County,Non-Federal Agency,Forest County,,, 
forsythcountync.gov,County,Non-Federal Agency,Forsyth County,,, 
fortbendcountytx.gov,County,Non-Federal Agency,Fort Bend County,,, 
franklincountyflorida.gov,County,Non-Federal Agency,Franklin County Florida Building and Planning Deptartment,,, 
franklincountyga.gov,County,Non-Federal Agency,Franklin County,,, 
franklincountyia.gov,County,Non-Federal Agency,Franklin County Iowa,,, 
franklincountyil.gov,County,Non-Federal Agency,Franklin County Government Illinois,,, 
franklincountymaine.gov,County,Non-Federal Agency,Franklin County Maine,,, 
franklincountyms.gov,County,Non-Federal Agency,Franklin County Board of Supervisors,,, 
franklincountync.gov,County,Non-Federal Agency,County of Franklin,,, 
franklincountyne.gov,County,Non-Federal Agency,Franklin County,,, 
franklincountyny.gov,County,Non-Federal Agency,County of Franklin,,, 
franklincountyohio.gov,County,Non-Federal Agency,Franklin County Data Center,,, 
franklincountypa.gov,County,Non-Federal Agency,"County of Franklin, PA",,, 
franklincountyva.gov,County,Non-Federal Agency,Franklin County VA,,, 
franklincountywa.gov,County,Non-Federal Agency,Franklin County Washington,,, 
franklinmo.gov,County,Non-Federal Agency,"Franklin County, MO",,, 
frederickcountymd.gov,County,Non-Federal Agency,Frederick County Government,,, 
frederickcountyva.gov,County,Non-Federal Agency,County of Frederick,,, 
fremontcountyco.gov,County,Non-Federal Agency,"Fremont County, Colorado",,, 
fremontcountyia.gov,County,Non-Federal Agency,Fremont County,,, 
fremontcountyid.gov,County,Non-Federal Agency,Fremont County ,,, 
fremontcountywy.gov,County,Non-Federal Agency,Fremont County Government,,, 
fresnocountyca.gov,County,Non-Federal Agency,County of Fresno,,, 
fresnocountyjobs.gov,County,Non-Federal Agency,County of Fresno,,, 
fultoncountyar.gov,County,Non-Federal Agency,Fulton County Judge's Office,,, 
fultoncountyga.gov,County,Non-Federal Agency,Fulton County Government,,, 
fultoncountyilelections.gov,County,Non-Federal Agency,Fulton County Illinois,,, 
fultoncountyil.gov,County,Non-Federal Agency,Fulton County Illinois,,, 
fultoncountyky.gov,County,Non-Federal Agency,Fulton County Fiscal Court,,, 
fultoncountyny.gov,County,Non-Federal Agency,County of Fulton,,, 
gadsdencountyfl.gov,County,Non-Federal Agency,Gadsden County BOCC,,, 
gadsdensoefl.gov,County,Non-Federal Agency,Supervisor of Elections,,, 
gagecountyne.gov,County,Non-Federal Agency,Gage County,,, 
galvestoncountytx.gov,County,Non-Federal Agency,County of Galveston,,, 
garfieldcounty-co.gov,County,Non-Federal Agency,Garfield County,,, 
garfieldcountyne.gov,County,Non-Federal Agency,Garfield County,,, 
garfieldcountywa.gov,County,Non-Federal Agency,Garfield County,,, 
garlandcountyar.gov,County,Non-Federal Agency,Garland County,,, 
garrardcountyky.gov,County,Non-Federal Agency,Garrard County Judge Executive,,, 
garrettcountymd.gov,County,Non-Federal Agency,Garrett County Commissioners,,, 
gatescountync.gov,County,Non-Federal Agency,County of Gates,,, 
gcso.gov,County,Non-Federal Agency,"Guthrie County, Iowa",,, 
geneseecountymi.gov,County,Non-Federal Agency,Genesee County,,, 
genevacountyal.gov,County,Non-Federal Agency,Geneva County Probate Judge,,, 
georgecountyms.gov,County,Non-Federal Agency,George County Board of Supervisors,,, 
germanclarkoh.gov,County,Non-Federal Agency,"German Township, Clark County",,, 
ggsc.gov,County,Non-Federal Agency,County of Greenville,,, 
gibsoncounty-in.gov,County,Non-Federal Agency,Gibson County Goverment,,, 
gibsoncounty-tn.gov,County,Non-Federal Agency,Gibson County 911,,, 
gilacountyaz.gov,County,Non-Federal Agency,Gila County,,, 
gilescountytn.gov,County,Non-Federal Agency,Giles County Government,,, 
gilmercounty-ga.gov,County,Non-Federal Agency,Gilmer County Board of Commissioners,,, 
gilmercountywv.gov,County,Non-Federal Agency,Gilmer County Commission,,, 
glaciercountymt.gov,County,Non-Federal Agency,Glacier County,,, 
gladwincounty-mi.gov,County,Non-Federal Agency,Gladwin County,,, 
gloucestercountynj.gov,County,Non-Federal Agency,County of Gloucester,,, 
gloucesterva.gov,County,Non-Federal Agency,"Gloucester County, VA",,, 
glynncounty-ga.gov,County,Non-Federal Agency,Glynn County Board of Commissioners,,, 
gogebiccountymi.gov,County,Non-Federal Agency,Gogebic County,,, 
gogebic.gov,County,Non-Federal Agency,Gogebic County,,, 
goliadcountytx.gov,County,Non-Federal Agency,Goliad County,,, 
goodhuecountymn.gov,County,Non-Federal Agency,"Goodhue County, MN",,, 
goodingcountyid.gov,County,Non-Federal Agency,Gooding County   ,,, 
gordoncountyga.gov,County,Non-Federal Agency,County of Gordon,,, 
gospercountyne.gov,County,Non-Federal Agency,Gosper County,,, 
govecountyks.gov,County,Non-Federal Agency,Gove County,,, 
gradycountyga.gov,County,Non-Federal Agency,Grady County Board of Commissioners,,, 
graftoncountynh.gov,County,Non-Federal Agency,Grafton County,,, 
graingercountytn.gov,County,Non-Federal Agency,Grainger County Sherriff Office,,, 
grantcountyne.gov,County,Non-Federal Agency,Grant County,,, 
grantcountynm.gov,County,Non-Federal Agency,Grant County,,, 
grantcounty-or.gov,County,Non-Federal Agency,Grant County Court,,, 
grantcountywa.gov,County,Non-Federal Agency,Grant County,,, 
gravescountyky.gov,County,Non-Federal Agency,Graves County Fiscal Court,,, 
graysoncountyky.gov,County,Non-Federal Agency,Grayson County Judge Executive ,,, 
graysoncountyva.gov,County,Non-Federal Agency,Grayson County,,, 
greeleycountyne.gov,County,Non-Federal Agency,Greeley County,,, 
greenecountyga.gov,County,Non-Federal Agency,Greene County Board of Commissioners,,, 
greenecountymo.gov,County,Non-Federal Agency,"Greene County, MO",,, 
greenecountyms.gov,County,Non-Federal Agency,Greene County MS Board of Supervisors,,, 
greenecountync.gov,County,Non-Federal Agency,County of Greene,,, 
greenecountyny.gov,County,Non-Federal Agency,Greene County,,, 
greenecountyohio.gov,County,Non-Federal Agency,Greene County Data Processing,,, 
greenecountytn.gov,County,Non-Federal Agency,Greene County,,, 
greenecountytnsheriffsdept.gov,County,Non-Federal Agency,Greene County Sheriff's Department,,, 
greenecountyva.gov,County,Non-Federal Agency,County of Greene,,, 
greenetwpclintonpa.gov,County,Non-Federal Agency,Greene Township Authority,,, 
greenlakecountywi.gov,County,Non-Federal Agency,Green Lake County,,, 
greenmchenrycountyil.gov,County,Non-Federal Agency,McHenry County Government Center,,, 
greenmchenrycountyillinois.gov,County,Non-Federal Agency,McHenry County Government Center,,, 
greensvillecountyva.gov,County,Non-Federal Agency,County of Greensville,,, 
greenupchdky.gov,County,Non-Federal Agency,Greenup County Health Department,,, 
greenupcountyky.gov,County,Non-Federal Agency,County of Greenup,,, 
greenvillecountysc.gov,County,Non-Federal Agency,County of Greenville,,, 
greenwoodcounty-sc.gov,County,Non-Federal Agency,Greenwood County,,, 
greenwoodsc.gov,County,Non-Federal Agency,Greenwood County,,, 
griggscountynd.gov,County,Non-Federal Agency,State of ND,,, 
grimescountytexas.gov,County,Non-Federal Agency,Grimes County,,, 
grundycountyil.gov,County,Non-Federal Agency,Grundy County IL,,, 
grundycountyiowa.gov,County,Non-Federal Agency,Grundy County,,, 
gtcountymi.gov,County,Non-Federal Agency,Grand Traverse County,,, 
guadalupetx.gov,County,Non-Federal Agency,"Guadalupe County, Texas",,, 
guernseycounty.gov,County,Non-Federal Agency,Guernsey County Local Government,,, 
guilfordcountync.gov,County,Non-Federal Agency,Guilford County,,, 
gulfcounty-fl.gov,County,Non-Federal Agency,Gulf County Board of County Commissioners,,, 
guthriecounty.gov,County,Non-Federal Agency,"Guthrie County, Iowa",,, 
gwinnettcountyga.gov,County,Non-Federal Agency,Gwinnett County Board of Commissioners,,, 
gwinnettcounty.gov,County,Non-Federal Agency,Gwinnett County Board of Commissioners,,, 
habershamcounty-ga.gov,County,Non-Federal Agency,Habersham County,,, 
hainesalaska.gov,County,Non-Federal Agency,Haines Borough,,, 
halifaxcountyva.gov,County,Non-Federal Agency,Halifax County,,, 
hallcountyga.gov,County,Non-Federal Agency,Hall County Board of Commissioners,,, 
hallcountyne.gov,County,Non-Federal Agency,Hall County,,, 
hamblencountytn.gov,County,Non-Federal Agency,"Hamblen County, TN Government",,, 
hamiltoncountyil.gov,County,Non-Federal Agency,Hamilton County,,, 
hamiltoncountyne.gov,County,Non-Federal Agency,Hamilton County,,, 
hamiltoncountyny.gov,County,Non-Federal Agency,Hamilton County,,, 
hamiltoncountyohio.gov,County,Non-Federal Agency,Hamilton County Telecommunications,,, 
hamiltontn.gov,County,Non-Federal Agency,Hamilton County I.T.,,, 
hamiltonvotesfl.gov,County,Non-Federal Agency,Hamilton County Supervisor of Elections,,, 
hancockcountyga.gov,County,Non-Federal Agency,Hancock County Board of Commissioners,,, 
hancockcountyia.gov,County,Non-Federal Agency,Hancock County Iowa,,, 
hancockcounty-il.gov,County,Non-Federal Agency,Hancock County Board,,, 
hancockcountyky.gov,County,Non-Federal Agency,Hancock County Fiscal Court,,, 
hancockcountymaine.gov,County,Non-Federal Agency,Hancock County,,, 
hancockcountyohioelections.gov,County,Non-Federal Agency,Hancock County Board of Elections,,, 
hancockcountywv.gov,County,Non-Federal Agency,"Hancock County, West Virginia",,, 
hancockin.gov,County,Non-Federal Agency,Hancock County Government,,, 
hanovercounty.gov,County,Non-Federal Agency,Hanover County,,, 
hanovercountyva.gov,County,Non-Federal Agency,Hanover County,,, 
hanover.gov,County,Non-Federal Agency,Hanover County,,, 
haralsoncountyga.gov,County,Non-Federal Agency,Haralson County Commissioner,,, 
hardeecountyfl.gov,County,Non-Federal Agency,Hardee County BOCC,,, 
hardeeflvotes.gov,County,Non-Federal Agency,HARDEE CO. SUPERVISOR OF ELECTIONS,,, 
hardincountyia.gov,County,Non-Federal Agency,Hardin County,,, 
hardincountyil.gov,County,Non-Federal Agency,Hardin County,,, 
hardincountyky.gov,County,Non-Federal Agency,Hardin County Government,,, 
hardincountyohio.gov,County,Non-Federal Agency,Hardin County,,, 
harfordcountymd.gov,County,Non-Federal Agency,Harford County Government,,, 
harnettcountync.gov,County,Non-Federal Agency,Harnett County,,, 
harneycountyor.gov,County,Non-Federal Agency,Harney County,,, 
harpercountyks.gov,County,Non-Federal Agency,Harper County Kansas,,, 
harriscountyga.gov,County,Non-Federal Agency,Harris County Commissioners,,, 
harriscountytx.gov,County,Non-Federal Agency,Harris County Information Technology Center,,, 
harrisoncountymo.gov,County,Non-Federal Agency,Harrison County,,, 
harrisoncountymschanceryclerk.gov,County,Non-Federal Agency,Harrison County Chancery Clerk,,, 
harrisoncountyms.gov,County,Non-Federal Agency,Harrison County Board of Supervisors,,, 
harrisoncountywv.gov,County,Non-Federal Agency,Harrison County Commission,,, 
hartcountyga.gov,County,Non-Federal Agency,Hart County Georgia,,, 
hartleycountytx.gov,County,Non-Federal Agency,Hartley County,,, 
haskellcountytx.gov,County,Non-Federal Agency,"Haskell County, Texas",,, 
hawaiicounty.gov,County,Non-Federal Agency,County of Hawaii,,, 
hawaiipolice.gov,County,Non-Federal Agency,Hawaii County Police Department,,, 
hawkinscountytn.gov,County,Non-Federal Agency,Hawkins County TN,,, 
haywoodcountync.gov,County,Non-Federal Agency,Haywood County NC,,, 
haywoodtn.gov,County,Non-Federal Agency,Haywood County Tennessee,,, 
hcfl.gov,County,Non-Federal Agency,Hillsborough County Board of County Commissioners,,, 
hcnh.gov,County,Non-Federal Agency,Hillsborough County,,, 
health-ashlandcounty-oh.gov,County,Non-Federal Agency,Ashland County Health Department,,, 
hendersoncountyil.gov,County,Non-Federal Agency,Henderson County,,, 
hendersoncountync.gov,County,Non-Federal Agency,Henderson County,,, 
hendersoncountytn.gov,County,Non-Federal Agency,Henderson County Government,,, 
hennepincounty.gov,County,Non-Federal Agency,Hennepin County,,, 
henrico.gov,County,Non-Federal Agency,Henrico County,,, 
henrycountyga.gov,County,Non-Federal Agency,Henry County Government,,, 
henrycountyohio.gov,County,Non-Federal Agency,Henry County Commissioners,,, 
henrycountysheriffga.gov,County,Non-Federal Agency,Henry County Government,,, 
henrycountyva.gov,County,Non-Federal Agency,County of Henry,,, 
henryctyil.gov,County,Non-Federal Agency,Henry County Government,,, 
henryvilaszoo.gov,County,Non-Federal Agency,Dane County,,, 
herkimercountyny.gov,County,Non-Federal Agency,Herkimer County,,, 
hernandovotes.gov,County,Non-Federal Agency,Hernando County Supervisor of Elections,,, 
hertfordcountync.gov,County,Non-Federal Agency,Hertford County,,, 
hickmancountytn.gov,County,Non-Federal Agency,Hickman County Government,,, 
highlandsclerkfl.gov,County,Non-Federal Agency,Clerk of Circuit Court & Comptroller,,, 
highlandsfl.gov,County,Non-Federal Agency,Highlands County Board of County Commissioners,,, 
hillsdalecounty.gov,County,Non-Federal Agency,Hillsdale County,,, 
hitchcockcountyne.gov,County,Non-Federal Agency,Hitchcock County,,, 
hodgeman.gov,County,Non-Federal Agency,Hodgeman County Kansas,,, 
holmeselectionsfl.gov,County,Non-Federal Agency,Supervisor of Elections,,, 
holtcountyne.gov,County,Non-Federal Agency,Holt County,,, 
hoodrivercounty.gov,County,Non-Federal Agency,Hood River County,,, 
hookercountyne.gov,County,Non-Federal Agency,Hooker County,,, 
horrycountysc.gov,County,Non-Federal Agency,Horry County Government,,, 
houstoncosoal.gov,County,Non-Federal Agency,Houston County Sheriff's Office,,, 
houstoncountyal.gov,County,Non-Federal Agency,Houston County Commission,,, 
howardcountyin.gov,County,Non-Federal Agency,Howard County,,, 
howardcountymaryland.gov,County,Non-Federal Agency,Howard County Government,,, 
howardcountymd.gov,County,Non-Federal Agency,Howard County Maryland Government,,, 
howardcounty-mo.gov,County,Non-Federal Agency,"County of Howard, MO",,, 
howardcountyne.gov,County,Non-Federal Agency,Howard County ,,, 
howardcountysheriffmo.gov,County,Non-Federal Agency,Howard County Sheriff's Office,,, 
howardcountytx.gov,County,Non-Federal Agency,Howard County Texas,,, 
howellcountymo911.gov,County,Non-Federal Agency,Howell County 911 Emergency Services,,, 
howellcountysheriff.gov,County,Non-Federal Agency,Howell County Sheriff's Office,,, 
humboldtcavotes.gov,County,Non-Federal Agency,County of Humboldt,,, 
humboldtcountyca.gov,County,Non-Federal Agency,County of Humboldt,,, 
humboldtcountynv.gov,County,Non-Federal Agency,Humboldt County,,, 
humphreyscountytn.gov,County,Non-Federal Agency,Humphreys County Government,,, 
huroncounty-oh.gov,County,Non-Federal Agency,Huron County Commissioners,,, 
hydecountync.gov,County,Non-Federal Agency,Hyde County Local Govt.,,, 
indianacountypa.gov,County,Non-Federal Agency,County of Indiana,,, 
indianriver.gov,County,Non-Federal Agency,Indian River County Board of County Commissioners,,, 
inghamcountymi.gov,County,Non-Federal Agency,County of Ingham,,, 
inyo.gov,County,Non-Federal Agency,"County of Inyo, CA",,, 
iredellcountync.gov,County,Non-Federal Agency,Iredell County,,, 
ironcountymo.gov,County,Non-Federal Agency,"Iron County, Missouri",,, 
iroquoiscountyil.gov,County,Non-Federal Agency,Iroquois County,,, 
irwincounty-ga.gov,County,Non-Federal Agency,Irwin County Georgia,,, 
islandcountywa.gov,County,Non-Federal Agency,Island County Government,,, 
issaquenacountyms.gov,County,Non-Federal Agency,Issaquena County Board of Supervisors,,, 
itascacountymn.gov,County,Non-Federal Agency,Itasca County MN,,, 
jacksoncoga.gov,County,Non-Federal Agency,Jackson County Board of Commissioners,,, 
jacksoncountyal.gov,County,Non-Federal Agency,Jackson County Commission,,, 
jacksoncountyco.gov,County,Non-Federal Agency,Jackson County,,, 
jacksoncountyfl.gov,County,Non-Federal Agency,Jackson County Board of County Commissioners,,, 
jacksoncounty-il.gov,County,Non-Federal Agency,"Jackson County, Illinois",,, 
jacksoncountyor.gov,County,Non-Federal Agency,Jackson County Oregon,,, 
jacksoncountytn.gov,County,Non-Federal Agency,Jackson County Government,,, 
jacksoncountywi.gov,County,Non-Federal Agency,Jackson County ,,, 
jamescitycountyva.gov,County,Non-Federal Agency,James City County,,, 
jasco.gov,County,Non-Federal Agency,Jasper County Emergency Services,,,systems@jasco.org
jaspercountyin.gov,County,Non-Federal Agency,Jasper County Government,,, 
jaspercountymo.gov,County,Non-Federal Agency,Jasper County Missouri,,, 
jaspercountymopa.gov,County,Non-Federal Agency,Jasper County Missouri,,, 
jaspercountysc.gov,County,Non-Federal Agency,Jasper County,,, 
jcrhcdwy.gov,County,Non-Federal Agency,Johnson County Rural Health Care District,,, 
jeffdaviscountyga.gov,County,Non-Federal Agency,Jeff Davis County Board Of Commissioners,,, 
jeffersoncountyarcourts.gov,County,Non-Federal Agency,Jefferson County Circuit Courts,,, 
jeffersoncountyar.gov,County,Non-Federal Agency,Jefferson County,,, 
jeffersoncountyfl.gov,County,Non-Federal Agency,Jefferson County Board of County Commissioners,,, 
jeffersoncountyga.gov,County,Non-Federal Agency,Jefferson County Board of Commissioners,,, 
jeffersoncountyks.gov,County,Non-Federal Agency,"Jefferson County, Kansas",,, 
jeffersoncountyms.gov,County,Non-Federal Agency,Jefferson County Board of Supervisors,,, 
jeffersoncounty-mt.gov,County,Non-Federal Agency,Jefferson County,,, 
jeffersoncountyne.gov,County,Non-Federal Agency,"Jefferson County, Nebraska",,, 
jeffersoncountyny.gov,County,Non-Federal Agency,Jefferson County,,, 
jeffersoncountyor.gov,County,Non-Federal Agency,Jefferson County Oregon,,, 
jeffersoncountypa.gov,County,Non-Federal Agency,Jefferson County,,, 
jeffersoncountytn.gov,County,Non-Federal Agency,"Jefferson County, Tennessee",,, 
jeffersoncountywi.gov,County,Non-Federal Agency,Jefferson County,,, 
jeffersonkyattorney.gov,County,Non-Federal Agency,Jefferson County Attorney,,, 
jenkinscountyga.gov,County,Non-Federal Agency,Jenkins County Board of Commissioners,,, 
jenningscounty-in.gov,County,Non-Federal Agency,Jennings County Government,,, 
jeromecountyid.gov,County,Non-Federal Agency,Jerome County,,, 
jerseycountyclerk-il.gov,County,Non-Federal Agency,Jersey County Clerk,,, 
jerseycounty-il.gov,County,Non-Federal Agency,Jersey County Government,,, 
jimwellscounty-tx.gov,County,Non-Federal Agency,Jim Wells County Sheriff's Department,,, 
jocomo.gov,County,Non-Federal Agency,County of Johnson,,, 
jodaviesscountyil.gov,County,Non-Federal Agency,"Jo Davies County, IL Local Government",,, 
johnsoncountyiowa.gov,County,Non-Federal Agency,Johnson County,,, 
johnsoncountyso-ne.gov,County,Non-Federal Agency,Johnson County Sheriff's Office,,, 
johnsoncountytn.gov,County,Non-Federal Agency,Johnson County Government,,, 
johnsoncowy.gov,County,Non-Federal Agency,Johnson County Wyoming,,, 
jonescountyiowaelections.gov,County,Non-Federal Agency,Jones County Auditor,,, 
jonescountyiowa.gov,County,Non-Federal Agency,Jones County Iowa,,, 
jonescountync.gov,County,Non-Federal Agency,Jones County,,, 
josephinecounty.gov,County,Non-Federal Agency,Josephine County,,, 
juabcounty.gov,County,Non-Federal Agency,Juab County,,, 
juneaucountywi.gov,County,Non-Federal Agency,Juneau County,,, 
kanecountyhospitalut.gov,County,Non-Federal Agency,Kane County Hospital,,, 
kanecountyil.gov,County,Non-Federal Agency,Kane County Illinois,,, 
kankakeecountyclerk.gov,County,Non-Federal Agency,Kankakee County Clerk,,, 
kauai.gov,County,Non-Federal Agency,County of Kauai,,, 
kearneycountyne.gov,County,Non-Federal Agency,Kearney County,,, 
keithcountyne.gov,County,Non-Federal Agency,Keith County Nebraska,,, 
kendallcountyil.gov,County,Non-Federal Agency,Kendall County,,, 
kennebec.gov,County,Non-Federal Agency,Kennebec County Government Center,,, 
kenoshacountywi.gov,County,Non-Federal Agency,Kenosha County,,, 
kentcountyde.gov,County,Non-Federal Agency,Kent County Levy Court,,, 
kentcountymi.gov,County,Non-Federal Agency,Kent County,,, 
kerncog-ca.gov,County,Non-Federal Agency,Kern Council of Governments,,, 
kerrcountytx.gov,County,Non-Federal Agency,Kerr County,,, 
kewauneeco.gov,County,Non-Federal Agency,Kewaunee County,,, 
keweenawcountymi.gov,County,Non-Federal Agency,Keweenaw County,,, 
kimballcountyne.gov,County,Non-Federal Agency,Kimball County,,, 
